Hjemmebane,Udebane,Køretid,Afstand
SMASH Padelcenter Horsens,Padel Club Sønderborg,1.5984722222222223,149.968
Padel Club Sønderborg,SMASH Padelcenter Stensballe,1.7933055555555557,157.3455
SMASH Padelcenter Stensballe,Padel Club Sønderborg,1.7933055555555557,157.3455
Padel Club Sønderborg,Struer Energi Park,2.647722222222222,248.5746
Struer Energi Park,Padel Club Sønderborg,2.647722222222222,248.5746
Padel Club Sønderborg,Tangsø Outdoor Padel,2.8447222222222224,259.3387
Tangsø Outdoor Padel,Padel Club Sønderborg,2.8447222222222224,259.3387
Padel Club Sønderborg,Tennis Club Odense,1.7985833333333332,165.0261
Tennis Club Odense,Padel Club Sønderborg,1.7985833333333332,165.0261
Padel Club Sønderborg,Agerbæk SF,1.642472222222222,148.6296
Agerbæk SF,Padel Club Sønderborg,1.642472222222222,148.6296
Padel Club Sønderborg,Play Padel Dragør,3.597777777777778,333.2725
Play Padel Dragør,Padel Club Sønderborg,3.597777777777778,333.2725
Padel Club Sønderborg,Match Padel Aalborg,3.1295,298.1843
Match Padel Aalborg,Padel Club Sønderborg,3.1295,298.1843
Padel Club Sønderborg,Padel6100,0.8658611111111111,73.2028
Padel6100,Padel Club Sønderborg,0.8658611111111111,73.2028
Padel Club Sønderborg,PadelPadel Odense - Carlsberg Nordic Arena,1.8521944444444445,172.4961
PadelPadel Odense - Carlsberg Nordic Arena,Padel Club Sønderborg,1.8521944444444445,172.4961
Padel Club Sønderborg,PadelWorld Herning,2.1104166666666666,200.3138
PadelWorld Herning,Padel Club Sønderborg,2.1104166666666666,200.3138
Padel Club Sønderborg,The Padel Club - Espergærde,3.908833333333333,359.8677
The Padel Club - Espergærde,Padel Club Sønderborg,3.908833333333333,359.8677
Padel Club Sønderborg,Ullerslev Tennis Klub,2.032722222222222,184.7537
Ullerslev Tennis Klub,Padel Club Sønderborg,2.032722222222222,184.7537
Padel Club Sønderborg,Tisvilde Tennis og Padel,4.125555555555556,371.7388
Tisvilde Tennis og Padel,Padel Club Sønderborg,4.125555555555556,371.7388
Padel Club Sønderborg,WePadel,1.998,190.6694
WePadel,Padel Club Sønderborg,1.998,190.6694
Padel Club Sønderborg,Aalborg Padel,3.002666666666667,292.2465
Aalborg Padel,Padel Club Sønderborg,3.002666666666667,292.2465
Padel Club Sønderborg,Padel Lounge Odense,1.858833333333333,164.6376
Padel Lounge Odense,Padel Club Sønderborg,1.858833333333333,164.6376
Padel Club Sønderborg,Båring GF Padel,1.4509166666666669,133.597
Båring GF Padel,Padel Club Sønderborg,1.4509166666666669,133.597
Padel Club Sønderborg,Racket Club Kløver,3.616666666666666,329.0296
Racket Club Kløver,Padel Club Sønderborg,3.616666666666666,329.0296
Padel Club Sønderborg,Maradona Memorial Vesterbro,3.490194444444445,322.0886
Maradona Memorial Vesterbro,Padel Club Sønderborg,3.490194444444445,322.0886
Padel Club Sønderborg,Bredballe IF,1.4113333333333336,128.5319
Bredballe IF,Padel Club Sønderborg,1.4113333333333336,128.5319
Padel Club Sønderborg,Padel Yard Reffen,3.681333333333333,331.3567
Padel Yard Reffen,Padel Club Sønderborg,3.681333333333333,331.3567
Padel Club Sønderborg,Greve Padel,3.2369444444444446,302.9598
Greve Padel,Padel Club Sønderborg,3.2369444444444446,302.9598
Padel Club Sønderborg,Tuse Padel og Tennis,3.217861111111111,278.5945
Tuse Padel og Tennis,Padel Club Sønderborg,3.217861111111111,278.5945
Padel Club Sønderborg,Dianalund Padel Klub,2.878,255.4772
Dianalund Padel Klub,Padel Club Sønderborg,2.878,255.4772
Padel Club Sønderborg,EGIF Tennis & Padel,1.2696944444444442,117.3852
EGIF Tennis & Padel,Padel Club Sønderborg,1.2696944444444442,117.3852
Padel Club Sønderborg,Sport 92 Padel,2.0861111111111112,197.7646
Sport 92 Padel,Padel Club Sønderborg,2.0861111111111112,197.7646
Padel Club Sønderborg,Fredagspadel Ølstykke,3.620361111111111,311.9117
Fredagspadel Ølstykke,Padel Club Sønderborg,3.620361111111111,311.9117
Padel Club Sønderborg,Padel Herlev,3.477638888888889,323.8101
Padel Herlev,Padel Club Sønderborg,3.477638888888889,323.8101
Padel Club Sønderborg,Gedved IF Padel,1.6764166666666669,156.7511
Gedved IF Padel,Padel Club Sønderborg,1.6764166666666669,156.7511
Padel Club Sønderborg,Hammel GF Padel,2.2846666666666664,207.1894
Hammel GF Padel,Padel Club Sønderborg,2.2846666666666664,207.1894
Padel Club Sønderborg,Hammel Tennis & Padel klub,2.274555555555556,206.9454
Hammel Tennis & Padel klub,Padel Club Sønderborg,2.274555555555556,206.9454
Padel Club Sønderborg,Hareskov padel,3.495027777777778,324.6588
Hareskov padel,Padel Club Sønderborg,3.495027777777778,324.6588
Padel Club Sønderborg,Aars Tennis & Padel,3.1782222222222223,293.7806
Aars Tennis & Padel,Padel Club Sønderborg,3.1782222222222223,293.7806
Padel Club Sønderborg,HimmerLand,3.1782222222222223,293.7806
HimmerLand,Padel Club Sønderborg,3.1782222222222223,293.7806
Padel Club Sønderborg,Ishøj Tennis & Padel Klub,3.3027777777777776,308.9245
Ishøj Tennis & Padel Klub,Padel Club Sønderborg,3.3027777777777776,308.9245
Padel Club Sønderborg,Jyllinge Tennis & Padel klub,3.5734166666666667,309.2292
Jyllinge Tennis & Padel klub,Padel Club Sønderborg,3.5734166666666667,309.2292
Padel Club Sønderborg,Karlslunde Padel,3.192472222222222,299.1311
Karlslunde Padel,Padel Club Sønderborg,3.192472222222222,299.1311
Padel Club Sønderborg,LKB Gistrup,3.185972222222222,305.0445
LKB Gistrup,Padel Club Sønderborg,3.185972222222222,305.0445
Padel Club Sønderborg,Padel Fusion,3.102388888888889,301.9511
Padel Fusion,Padel Club Sønderborg,3.102388888888889,301.9511
Padel Club Sønderborg,Nyborg Padel,2.0582777777777777,194.7948
Nyborg Padel,Padel Club Sønderborg,2.0582777777777777,194.7948
Padel Club Sønderborg,Nykøbing F. Padelklub,3.89925,326.1178
Nykøbing F. Padelklub,Padel Club Sønderborg,3.89925,326.1178
Padel Club Sønderborg,Østhimmerlands Padel,3.2166944444444443,271.9446
Østhimmerlands Padel,Padel Club Sønderborg,3.2166944444444443,271.9446
Padel Club Sønderborg,Padel Forening Thy,3.742333333333333,308.71070000000003
Padel Forening Thy,Padel Club Sønderborg,3.742333333333333,308.71070000000003
Padel Club Sønderborg,Padel Danmark - Herlev,3.618527777777778,334.7314
Padel Danmark - Herlev,Padel Club Sønderborg,3.618527777777778,334.7314
Padel Club Sønderborg,Padel Nakskov,4.417194444444444,367.4246
Padel Nakskov,Padel Club Sønderborg,4.417194444444444,367.4246
Padel Club Sønderborg,Padelhuset - Helsinge,4.018777777777777,365.7541
Padelhuset - Helsinge,Padel Club Sønderborg,4.018777777777777,365.7541
Padel Club Sønderborg,Padel Club Sjælland,3.1869444444444444,298.2992
Padel Club Sjælland,Padel Club Sønderborg,3.1869444444444444,298.2992
Padel Club Sønderborg,Roskilde Padelklub,3.314638888888889,293.011
